"1900-01";4.7
"1900-02";3.3
"1900-03";4.0
"1900-04";8.8
"1900-05";10.7
"1900-06";15.0
"1900-07";18.8
"1900-08";16.0
"1900-09";14.4
"1900-10";10.4
"1900-11";7.8
"1900-12";7.5
"1901-01";3.5
"1901-02";2.5
"1901-03";4.4
"1901-04";9.1
"1901-05";11.8
"1901-06";14.6
"1901-07";18.5
"1901-08";16.5
"1901-09";14.3
"1901-10";10.1
"1901-11";4.9
"1901-12";3.6
"1902-01";5.2
"1902-02";2.1
"1902-03";7.4
"1902-04";8.1
"1902-05";9.6
"1902-06";14.1
"1902-07";15.7
"1902-08";15.3
"1902-09";13.3
"1902-10";9.9
"1902-11";7.1
"1902-12";4.7
"1903-01";4.7
"1903-02";7.5
"1903-03";7.7
"1903-04";6.8
"1903-05";11.7
"1903-06";13.2
"1903-07";16.3
"1903-08";14.8
"1903-09";13.7
"1903-10";11.2
"1903-11";6.7
"1903-12";3.6
"1904-01";4.1
"1904-02";4.0
"1904-03";5.0
"1904-04";9.6
"1904-05";11.5
"1904-06";14.0
"1904-07";18.1
"1904-08";15.8
"1904-09";12.6
"1904-10";9.9
"1904-11";5.2
"1904-12";4.0
"1905-01";3.3
"1905-02";5.8
"1905-03";7.5
"1905-04";8.0
"1905-05";11.4
"1905-06";15.2
"1905-07";18.4
"1905-08";15.5
"1905-09";13.1
"1905-10";7.6
"1905-11";5.2
"1905-12";4.6
"1906-01";5.8
"1906-02";3.6
"1906-03";5.7
"1906-04";7.9
"1906-05";11.4
"1906-06";14.8
"1906-07";16.9
"1906-08";18.0
"1906-09";14.9
"1906-10";11.6
"1906-11";7.6
"1906-12";3.4
"1907-01";3.7
"1907-02";3.3
"1907-03";6.9
"1907-04";8.4
"1907-05";11.6
"1907-06";13.2
"1907-07";14.8
"1907-08";15.2
"1907-09";14.3
"1907-10";10.4
"1907-11";7.2
"1907-12";5.4
"1908-01";2.5
"1908-02";5.6
"1908-03";4.9
"1908-04";6.4
"1908-05";13.3
"1908-06";15.2
"1908-07";16.9
"1908-08";15.3
"1908-09";13.2
"1908-10";12.1
"1908-11";8.0
"1908-12";4.0
"1909-01";3.6
"1909-02";2.9
"1909-03";4.1
"1909-04";9.3
"1909-05";11.4
"1909-06";12.5
"1909-07";15.6
"1909-08";16.5
"1909-09";12.6
"1909-10";11.1
"1909-11";5.3
"1909-12";4.6
"1910-01";4.1
"1910-02";5.7
"1910-03";6.2
"1910-04";8.0
"1910-05";11.9
"1910-06";15.6
"1910-07";14.7
"1910-08";15.7
"1910-09";13.1
"1910-10";11.3
"1910-11";3.7
"1910-12";6.7
"1911-01";3.8
"1911-02";5.2
"1911-03";5.6
"1911-04";8.2
"1911-05";13.5
"1911-06";15.3
"1911-07";19.6
"1911-08";19.4
"1911-09";15.4
"1911-10";10.0
"1911-11";6.4
"1911-12";6.8
"1912-01";4.2
"1912-02";6.2
"1912-03";7.9
"1912-04";9.2
"1912-05";13.2
"1912-06";14.4
"1912-07";16.8
"1912-08";13.5
"1912-09";11.5
"1912-10";8.6
"1912-11";6.6
"1912-12";7.5
"1913-01";5.3
"1913-02";4.8
"1913-03";6.9
"1913-04";8.4
"1913-05";12.4
"1913-06";15.0
"1913-07";15.5
"1913-08";16.0
"1913-09";14.7
"1913-10";11.8
"1913-11";8.8
"1913-12";5.2
"1914-01";3.6
"1914-02";7.1
"1914-03";6.7
"1914-04";10.3
"1914-05";11.4
"1914-06";15.4
"1914-07";16.5
"1914-08";17.0
"1914-09";13.9
"1914-10";10.9
"1914-11";7.1
"1914-12";5.3
"1915-01";4.3
"1915-02";4.9
"1915-03";5.5
"1915-04";8.2
"1915-05";11.7
"1915-06";15.1
"1915-07";15.5
"1915-08";16.5
"1915-09";13.7
"1915-10";9.5
"1915-11";3.5
"1915-12";6.2
"1916-01";7.7
"1916-02";3.8
"1916-03";3.8
"1916-04";9.1
"1916-05";12.5
"1916-06";12.0
"1916-07";15.9
"1916-08";17.2
"1916-09";13.3
"1916-10";11.4
"1916-11";6.6
"1916-12";1.8
"1917-01";1.6
"1917-02";1.5
"1917-03";3.5
"1917-04";6.1
"1917-05";13.8
"1917-06";16.1
"1917-07";16.5
"1917-08";15.9
"1917-09";14.7
"1917-10";8.1
"1917-11";7.9
"1917-12";2.0
"1918-01";3.8
"1918-02";6.5
"1918-03";6.5
"1918-04";7.0
"1918-05";13.6
"1918-06";13.7
"1918-07";16.2
"1918-08";16.5
"1918-09";12.5
"1918-10";9.5
"1918-11";5.6
"1918-12";7.4
"1919-01";2.9
"1919-02";1.7
"1919-03";4.3
"1919-04";7.6
"1919-05";13.6
"1919-06";15.1
"1919-07";14.4
"1919-08";17.2
"1919-09";13.4
"1919-10";7.2
"1919-11";3.5
"1919-12";5.9
"1920-01";5.7
"1920-02";6.3
"1920-03";7.9
"1920-04";8.9
"1920-05";12.4
"1920-06";14.8
"1920-07";14.6
"1920-08";13.8
"1920-09";13.7
"1920-10";10.5
"1920-11";6.6
"1920-12";4.5
"1921-01";7.6
"1921-02";5.0
"1921-03";8.0
"1921-04";9.0
"1921-05";12.2
"1921-06";15.5
"1921-07";19.7
"1921-08";16.5
"1921-09";14.9
"1921-10";13.5
"1921-11";4.8
"1921-12";6.5
"1922-01";4.2
"1922-02";4.8
"1922-03";5.2
"1922-04";6.1
"1922-05";14.0
"1922-06";14.6
"1922-07";14.4
"1922-08";14.1
"1922-09";12.8
"1922-10";8.4
"1922-11";5.7
"1922-12";6.1
"1923-01";5.3
"1923-02";6.3
"1923-03";6.7
"1923-04";8.2
"1923-05";10.3
"1923-06";13.1
"1923-07";18.4
"1923-08";16.2
"1923-09";13.2
"1923-10";10.3
"1923-11";3.4
"1923-12";4.2
"1924-01";5.3
"1924-02";3.3
"1924-03";4.7
"1924-04";8.1
"1924-05";12.4
"1924-06";14.7
"1924-07";15.8
"1924-08";14.7
"1924-09";13.9
"1924-10";10.7
"1924-11";7.5
"1924-12";6.6
"1925-01";5.4
